,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean
id,1.0,,0.555885708005466,0.13199163924200422,0.14088241671837995,,0.12425374907668972,0.08885026605140223,0.0597022141470629,0.017543203294134956,-0.0021750984311998426,-0.02146614050687387,-0.14419314864518998,-0.01450481824119757,-0.14303434893252345,-0.10892806829398508,-0.04770684729963817,-0.04770651601277764,-0.14308054818862337,-0.04769970493411029,,0.20374433128039052,0.20747410324016047,0.1996809086137618,0.1553898021444514,-0.33447700090373006,-0.0654721945493078,-0.004139915703734838,0.1951214802938731,-0.1552056427424018,-0.17289641381506085,-0.025481964821557943,-0.08015562624326952,-0.11533689504919122,-0.06390705076625244,-0.06719138818672979,-0.08386188531751425,-0.08408993063273752,-0.06750420238526507,0.1773345681240525,0.026320418969039375,0.1642667272685288,-0.02124779654681905,0.08275901060912949,0.07643273525303074
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.555885708005466,,1.0,0.12830332193084157,0.1373016998685067,,0.18799947310687573,0.09917839560398084,0.004396995999414715,-0.0068501777421436745,-0.08708612077756597,-0.08503044736970601,-0.09766143293605123,-0.009108363867870764,-0.09485018277602494,-0.10241689144342385,0.016576142822881498,0.016576665231445003,-0.09666675437258236,0.01650272426627949,,0.2939549577230472,0.2929069431471261,0.28199980578655043,0.20566419646827336,-0.20211330020629056,-0.007011325732198201,0.020265895867291495,0.2769982428703346,-0.060693944032140845,-0.14688064652459618,-0.024716706765730477,-0.18710941032863912,-0.20293162933027856,-0.1406758567696602,-0.12666386390005321,-0.17304987381900014,-0.1783168823267641,-0.1557104555887926,0.29213730396459264,-0.016302341633430674,0.31395818664288616,-0.017344444031654645,0.11638005213625795,0.09539233804399358
host_listings_count,0.13199163924200422,,0.12830332193084157,1.0,0.9473684643384335,,0.20501148924472484,0.21871187380136473,0.053258454973073584,-0.014632595175556184,-0.0625361135116759,-0.044397723620817446,-0.03068599648267394,0.006676513636107876,-0.031310857881029976,0.407522590440422,-0.0048742612282127945,-0.00487406873574156,-0.017132006134908128,-0.004858817852367063,,0.06631277559547898,0.057278852299270454,0.04369654962282872,0.1371381097402261,-0.12786742308658736,-0.10467891826303367,-0.09650721488995263,0.04987671338026581,-0.11104166692541374,-0.2125906183568972,-0.014013553949663457,-0.07648627092982653,-0.06481682234723168,-0.01815208831093064,-0.08289470155491896,-0.17870522756742482,-0.09275401216750881,-0.11197018202423012,0.47906314206632694,0.8327438178113078,-0.01571625405967924,-0.024023188896951878,-0.09143451928322316,0.09167769364816022
host_total_listings_count,0.14088241671837995,,0.1373016998685067,0.9473684643384335,1.0,,0.21424189887686634,0.21556982158565455,0.08483610351160456,-0.0157211917654311,-0.04622414116570758,-0.045780273419001316,-0.037540895428353316,0.007651325658189619,-0.03806935920289682,0.3464026182281417,-0.004860010498131538,-0.004859562187041366,-0.025851214623632254,-0.004846796910628796,,0.09420451742300189,0.08371270799288648,0.0695123649420479,0.1482906612905209,-0.12753260413870715,-0.10271096156152605,-0.09374721111362692,0.07519651247454755,-0.10866812730329765,-0.20763767483675102,0.03465666281933268,-0.07470198386525412,-0.08169951142340835,-0.016751248071435444,-0.07849609744594674,-0.1669207147809573,-0.07452223479143001,-0.10802274439426059,0.42142210364217825,0.7243851095790814,-0.02645713376147518,-0.023587101086351304,-0.08761491353229493,0.15801036235271582
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,0.12425374907668972,,0.18799947310687573,0.20501148924472484,0.21424189887686634,,1.0,0.27551934024717517,-0.007763125296923628,-0.0014519458480581975,-0.14793556534109448,-0.07925473069182454,0.030073032716784704,0.0111998971712739,0.03657933456450412,0.0768035551934773,0.039837350772058945,0.03983764705650654,0.0313606699001807,0.03977945387622909,,0.07423745790954638,0.04616216299883348,0.026924483129423957,0.041681037037108425,-0.17185087217288322,-0.1382902647247953,-0.12613723694763462,0.02302286982382361,-0.16716343480596665,-0.24906066148462758,-0.003172929696652081,-0.086908368485313,-0.0854988109048177,-0.06412641920435688,-0.08369034081858857,-0.1008546746065294,0.02285432607738676,-0.10070586650791033,0.25461468066534704,0.1759842218479789,0.1633882719703516,0.034854030007037955,-0.1203142779103706,0.06894484031598387
longitude,0.08885026605140223,,0.09917839560398084,0.21871187380136473,0.21556982158565455,,0.27551934024717517,1.0,-0.05793718175009879,-0.015102974897877328,-0.1378108830769829,-0.12389620869096492,0.03282159470908126,-0.014823532947847183,0.03222625748852674,0.11580861410826693,0.017689879342857893,0.01769013967065201,0.03481947391013037,0.01765592816098629,,0.013619992306940507,0.009181773431134901,-0.01374743587057902,0.006548245861085951,-0.192387577194899,-0.16483447265153453,-0.15778338197353553,-0.01778638766770139,-0.19322336733096607,-0.24210601828821085,-0.03849249918954746,-0.043530581395482965,-0.04150612708986494,-0.023705032022979515,-0.06123174000146432,-0.05925085342632301,-0.13181068126998657,-0.05821295510267714,0.1876770241672115,0.21080255956678415,0.062349837774774805,-0.016188773817677186,-0.1630019075813268,0.034738302777534556
accommodates,0.0597022141470629,,0.004396995999414715,0.053258454973073584,0.08483610351160456,,-0.007763125296923628,-0.05793718175009879,1.0,0.43661427452282664,0.7395486757871643,0.811430935985924,-0.09094413726927791,-0.007446533931057503,-0.0893401584700368,-0.09573095151354878,-0.011749464585652358,-0.011749383151289292,-0.0910058266889383,-0.011763190691912138,,0.0034969280141917206,-0.018542644592803196,-0.028425047971287042,-0.023918343527965128,-0.027493251161675274,0.006463516364387857,0.01805508454430087,-0.03293732020729291,0.01016832773757114,0.0028370108369230903,0.15361173785716992,0.09675775254581086,0.069835419221664,0.10315006873626337,0.0771453685522797,0.0617553933211916,0.09366638958119614,0.06578728914080474,-0.1085397972257372,0.006635998377188214,-0.13742151842483621,-0.041609692391504124,0.009994430762898394,0.061797403965800995
bathrooms,0.017543203294134956,,-0.0068501777421436745,-0.014632595175556184,-0.0157211917654311,,-0.0014519458480581975,-0.015102974897877328,0.43661427452282664,1.0,0.4885271549305373,0.4313620776070851,0.2697986944931291,-0.004220196519199069,0.27085076663894664,0.16714478057282278,-0.021448955054679857,-0.0214489974268258,0.2673681519472417,-0.021447160179382023,,0.05881920158683848,0.0457288573463218,0.028973013756204324,0.051479406848130155,-0.07319133119444338,-0.04965468397011605,-0.0425117087332819,0.023329801251546666,-0.06422521069092127,-0.0850660061430946,0.0632933919778538,0.0399905091497887,0.036339420463718373,-0.014637728686944807,0.015147622313468072,0.032505953313472724,0.012063530363945519,0.018546356126344424,-0.04161889908387181,-0.01861619667009499,-0.03460073578284659,-0.01502709818047771,-0.06896417743349807,0.02519394689274502
bedrooms,-0.0021750984311998426,,-0.08708612077756597,-0.0625361135116759,-0.04622414116570758,,-0.14793556534109448,-0.1378108830769829,0.7395486757871643,0.4885271549305373,1.0,0.7523402715008809,-0.021967568789896686,-0.006383766213323529,-0.020469066377920724,-0.04061039524495782,-0.027950169173799905,-0.027950271255136362,-0.023106445589074973,-0.02793807567317187,,-0.07692628148016903,-0.10415378890150653,-0.11205720427949602,-0.07064164515418143,-0.07277946342304482,-0.03795328855335631,-0.010552694096147975,-0.1130506660965448,-0.040480360010866134,-0.02468445141432504,0.1291546633809751,0.08237679552637106,0.06548422565579365,0.04827439364187938,0.07199651416416677,0.06709077217546168,0.09198100380499241,0.05864810902673831,-0.13630673045685196,-0.0765409341050795,-0.10409142141410775,-0.03191809812918214,-0.06132400226529555,0.034858459738309096
beds,-0.02146614050687387,,-0.08503044736970601,-0.044397723620817446,-0.045780273419001316,,-0.07925473069182454,-0.12389620869096492,0.811430935985924,0.4313620776070851,0.7523402715008809,1.0,-0.06928527742724856,-0.020543485113868533,-0.06683662460959466,-0.09109434356407892,-0.01382698268854361,-0.013827061872261662,-0.07098163555968441,-0.013834920899985727,,-0.03879633057154205,-0.06813866302789957,-0.07784645785185544,-0.06771896333991997,-0.017213604864981306,0.006048052364175297,0.01722273022602011,-0.08276676363965045,0.007724068451175616,0.0210664471703122,0.1401270854931989,0.08881734510657376,0.07233508720156827,0.07560388642892224,0.07868505504339818,0.0677184866894979,0.09326625713013155,0.06008143780563249,-0.14700277247627316,-0.042665524737919264,-0.1379973740400493,0.01939680320594325,-0.018567345518576202,0.009649221990459127
minimum_nights,-0.14419314864518998,,-0.09766143293605123,-0.03068599648267394,-0.037540895428353316,,0.030073032716784704,0.03282159470908126,-0.09094413726927791,0.2697986944931291,-0.021967568789896686,-0.06928527742724856,1.0,0.010703290072782168,0.9925384881223569,0.7520923098152899,-0.019149121978305646,-0.019149285981174314,0.994627862382751,-0.0191234573366062,,0.047734749932261095,0.03720214732033451,0.02634816574448243,0.06986741789666899,-0.12750037489685268,-0.13362469383848152,-0.12511133970622346,0.025935319781390444,-0.13826130754110083,-0.13330583635860127,-0.06870669424892796,-0.02024826202193188,-0.014118264352167596,-0.07826503903949843,-0.017039153938939143,-0.022255810228745572,-0.011362081243660187,-0.0393938137028967,-0.026248557498630847,-0.0038150626756576905,-0.019633792542924484,-0.03249869088471131,-0.179893514636139,-0.033541814891357595
maximum_nights,-0.01450481824119757,,-0.009108363867870764,0.006676513636107876,0.007651325658189619,,0.0111998971712739,-0.014823532947847183,-0.007446533931057503,-0.004220196519199069,-0.006383766213323529,-0.020543485113868533,0.010703290072782168,1.0,0.010765924626888742,0.01268058427069281,0.0013824538340857608,0.0013824610445008878,0.010742804594600993,0.0013840260104338554,,-0.00982233725836486,-0.012181143647082476,-0.014164315396288252,-0.0025908459811262202,-0.009207148246598022,-0.009266859170035262,-0.009290539965150037,-0.014533003676472369,-0.01033100709441665,-0.0016798910891310905,-0.002323667637929238,-0.020907758609320762,-0.009106270047036026,-0.008479427083599089,-0.006812477959428549,-0.0016612302850397235,-0.002371330396635165,-0.013770359938465334,0.008613637070886115,0.006243261197776911,0.004930001406791872,-0.002265310039683759,-0.012787973920141388,0.0009016734950307488
minimum_minimum_nights,-0.14303434893252345,,-0.09485018277602494,-0.031310857881029976,-0.03806935920289682,,0.03657933456450412,0.03222625748852674,-0.0893401584700368,0.27085076663894664,-0.020469066377920724,-0.06683662460959466,0.9925384881223569,0.010765924626888742,1.0,0.7468853027083842,-0.0186885803786858,-0.01868874270590418,0.9896295028434896,-0.018688663839330304,,0.04832296359765835,0.03692703485739453,0.025667225898813043,0.06698576238873202,-0.12757026444031971,-0.13317937509228228,-0.12541688308453328,0.024539064949314408,-0.13821966263240845,-0.13763361757267983,-0.06922313276401722,-0.022810188131989918,-0.015383019477074525,-0.08131892288026386,-0.01789348077585876,-0.025749040022858067,-0.011354102637566837,-0.03987361263331507,-0.026098094728771497,-0.004757655001525455,-0.01893785163636298,-0.032108427808490055,-0.17895250762006684,-0.03304805184528665
maximum_minimum_nights,-0.10892806829398508,,-0.10241689144342385,0.407522590440422,0.3464026182281417,,0.0768035551934773,0.11580861410826693,-0.09573095151354878,0.16714478057282278,-0.04061039524495782,-0.09109434356407892,0.7520923098152899,0.01268058427069281,0.7468853027083842,1.0,-0.017443363352716998,-0.01744351723582214,0.7726181656369459,-0.017443443071418197,,-0.027052506137229867,-0.040374126750773225,-0.0527468218647633,0.06936740283197015,-0.13534937264740263,-0.1280056965247952,-0.11963051998704835,-0.047487075364099005,-0.13773556189468814,-0.16875662784190207,-0.07645370587115895,-0.050829011573608245,-0.027708834782132097,-0.07476088578494472,-0.053742267167886326,-0.09409792853634873,-0.04111574478645877,-0.08407623065834557,0.25527563307902684,0.5171048356737578,-0.040339911433606705,-0.03201433328582852,-0.161385777021469,-0.021836288844317816
minimum_maximum_nights,-0.04770684729963817,,0.016576142822881498,-0.0048742612282127945,-0.004860010498131538,,0.039837350772058945,0.017689879342857893,-0.011749464585652358,-0.021448955054679857,-0.027950169173799905,-0.01382698268854361,-0.019149121978305646,0.0013824538340857608,-0.0186885803786858,-0.017443363352716998,1.0,0.9999999999981696,-0.019027223709168636,0.9999999999993089,,0.054421948742340895,0.04408044551800849,0.04029105329632219,0.010526842627127173,-0.015629183974010547,-0.0004182807751906538,0.0005570861875107874,0.03724514556688088,-0.013280174422405817,-0.021782118808602747,-0.00745987134002206,-0.007646209473615431,-0.017883139415712127,-0.0031120131323523503,-0.012337560874759942,-0.036764543123801945,0.001622231855473997,-0.0001351982838375495,-0.012402918839373294,-0.015740190852428188,-0.0033348314696315024,-0.004353143620656431,-0.018818387363554925,-0.003147053862534044
maximum_maximum_nights,-0.04770651601277764,,0.016576665231445003,-0.00487406873574156,-0.004859562187041366,,0.03983764705650654,0.01769013967065201,-0.011749383151289292,-0.0214489974268258,-0.027950271255136362,-0.013827061872261662,-0.019149285981174314,0.0013824610445008878,-0.01868874270590418,-0.01744351723582214,0.9999999999981696,1.0,-0.019027385972231806,0.9999999999993321,,0.05442233061875378,0.044080818422497635,0.04029141331045905,0.010526982413419957,-0.01562921788249346,-0.00041822394269015723,0.0005571946490123074,0.03724548349492261,-0.013280141852033866,-0.0217822553391027,-0.007459634430665473,-0.007646307555854465,-0.0178832452228339,-0.0031120390481909543,-0.012337633678593208,-0.036764671467227235,0.0016221340942630758,-0.00013527870295801787,-0.012402909763550822,-0.015740314834544668,-0.003334905269943987,-0.004353080898973347,-0.018818235713622334,-0.0031465968725653943
minimum_nights_avg_ntm,-0.14308054818862337,,-0.09666675437258236,-0.017132006134908128,-0.025851214623632254,,0.0313606699001807,0.03481947391013037,-0.0910058266889383,0.2673681519472417,-0.023106445589074973,-0.07098163555968441,0.994627862382751,0.010742804594600993,0.9896295028434896,0.7726181656369459,-0.019027223709168636,-0.019027385972231806,1.0,-0.01900113844376677,,0.04543119221828822,0.03496477044831207,0.024148387684142143,0.06921305304588267,-0.12678996529547876,-0.13168350346979873,-0.12370458209905257,0.023997175853555038,-0.13695273756072224,-0.13311083939939553,-0.06967005540655333,-0.020352056313722004,-0.014583793826780529,-0.07877923394897862,-0.01696318269869994,-0.024437289895817244,-0.010785898236421515,-0.03968069563323108,-0.01828415261572548,0.012398197609004237,-0.021088420754229738,-0.0327106775833477,-0.17656831552774604,-0.0337476853899159
maximum_nights_avg_ntm,-0.04769970493411029,,0.01650272426627949,-0.004858817852367063,-0.004846796910628796,,0.03977945387622909,0.01765592816098629,-0.011763190691912138,-0.021447160179382023,-0.02793807567317187,-0.013834920899985727,-0.0191234573366062,0.0013840260104338554,-0.018688663839330304,-0.017443443071418197,0.9999999999993089,0.9999999999993321,-0.01900113844376677,1.0,,0.05445098256102819,0.04411623757818388,0.040330244939638014,0.010604200973863158,-0.015641690884532815,-0.0004733590625150147,0.0005368449190660044,0.03728751350721544,-0.0133143533287381,-0.02179880719402836,-0.007470042891227702,-0.007668333438538626,-0.017903040610165625,-0.003136191707124055,-0.01231276732354845,-0.03677931914631009,0.0016561357789645875,-0.00016232676396472237,-0.012383288973394593,-0.015722826798938844,-0.003323648056512695,-0.004347510947331178,-0.018837128537571593,-0.003145282058116138
calendar_updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
availability_30,0.20374433128039052,,0.2939549577230472,0.06631277559547898,0.09420451742300189,,0.07423745790954638,0.013619992306940507,0.0034969280141917206,0.05881920158683848,-0.07692628148016903,-0.03879633057154205,0.047734749932261095,-0.00982233725836486,0.04832296359765835,-0.027052506137229867,0.054421948742340895,0.05442233061875378,0.04543119221828822,0.05445098256102819,,1.0,0.9222829400831081,0.8483980160545657,0.520531666311537,-0.023581767103885643,0.01447084429822295,0.04340402934944247,0.7872552578508045,-0.014163276257268322,-0.09438325516381453,-0.025323106772396523,-0.18306975627450944,-0.19308755561170668,-0.14609319097614917,-0.1159384502821919,-0.13482455546695807,-0.13882557775866566,-0.16004653048803819,0.24952527087800505,-0.10888999719034698,0.3413367354380203,0.015446038980644953,0.09735625757508407,0.05263290686557391
availability_60,0.20747410324016047,,0.2929069431471261,0.057278852299270454,0.08371270799288648,,0.04616216299883348,0.009181773431134901,-0.018542644592803196,0.0457288573463218,-0.10415378890150653,-0.06813866302789957,0.03720214732033451,-0.012181143647082476,0.03692703485739453,-0.040374126750773225,0.04408044551800849,0.044080818422497635,0.03496477044831207,0.04411623757818388,,0.9222829400831081,1.0,0.9646627337460656,0.6094532005117286,0.00503381634835239,0.03700044066147732,0.06363923127864374,0.910522285374518,0.011430178592906095,-0.04385997245683207,-0.03178517901583216,-0.192570321705714,-0.19295590105790955,-0.1486804067864658,-0.1202387254908755,-0.13529798810454033,-0.15880801623388066,-0.16699436390781044,0.22222506597490607,-0.1143014515239043,0.31375005362121045,0.00613062484766314,0.12243836298244275,0.04508712718492436
